split_type,model_name,fraction,seed,test_mse,test_cross_entropy
parameter_amb,eu,0.18,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.18,42,0.05466677259561585,0.6954463528849272
parameter_amb,pt5,0.18,42,0.053765358001085346,0.6936409407918092
parameter_amb,ev,0.2,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.2,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.2,42,0.05452555508238031,0.6951634765999718
parameter_amb,pt5,0.2,42,0.05415442026685869,0.6944198720090261
parameter_amb,ev,0.22,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.22,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.22,42,0.054478485308230226,0.6950692077306652
parameter_amb,pt5,0.22,42,0.05402515735035271,0.6941610244825277
parameter_amb,ev,0.24,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.24,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.24,42,0.05442571897945133,0.6949635419754187
parameter_amb,pt5,0.24,42,0.054005785693074945,0.6941222362502686
parameter_amb,ev,0.26,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.26,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.26,42,0.05430590403372758,0.6947236644421206
parameter_amb,pt5,0.26,42,0.05384956652565457,0.6938094688728578
parameter_amb,ev,0.28,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.28,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.28,42,0.054462802945926966,0.6950378020877898
parameter_amb,pt5,0.28,42,0.054009404582367956,0.6941294823534331
parameter_amb,ev,0.3,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.3,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.3,42,0.05437746050642672,0.6948669154200415
parameter_amb,pt5,0.3,42,0.05378325448559796,0.6936767241111522
parameter_amb,ev,0.32,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.32,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.32,42,0.05427284983609697,0.6946575037161065
parameter_amb,pt5,0.32,42,0.053437076363082175,0.6929839757787747
parameter_amb,ev,0.34,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.34,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.34,42,0.05420730307796949,0.6945263325010911
parameter_amb,pt5,0.34,42,0.05341312262253478,0.6929361015698476
parameter_amb,ev,0.36,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.36,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.36,42,0.0540156514923582,0.6941432154131667
parameter_amb,pt5,0.36,42,0.05351326011652719,0.6931364596352894
parameter_amb,ev,0.38,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.38,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.38,42,0.054038168382830355,0.6941881469959126
parameter_amb,pt5,0.38,42,0.05348557288109537,0.6930810628764561
parameter_amb,ev,0.4,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.4,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.4,42,0.05403512659129725,0.6941820735350013
parameter_amb,pt5,0.4,42,0.05346499899232977,0.6930398989535331
parameter_amb,ev,0.42,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.42,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.42,42,0.0540135374676226,0.6941390022290538
