family,model_id,N,seed,mse,r2,correlation,cross_entropy,rmse,mae,parse_success_rate,sens_mse_parse_ok,sens_cross_entropy_parse_ok,sens_mae_parse_ok
symbolic,EU,4,43,0.040403867148181116,0.15635165192883493,0.49446793751910345,0.6802408793630143,0.2010071320828719,0.1644324438436131,1.0,0.040403867148181116,0.6802408793630143,0.1644324438436131
symbolic,EU,8,42,0.026738458620460454,0.44169065890673864,0.7051116512759363,0.654068880625307,0.163518985504621,0.13321840991943704,1.0,0.026738458620460454,0.654068880625307,0.13321840991943704
symbolic,EU,8,43,0.029093916737052358,0.3925077838684261,0.7386147636964505,0.6683506802528051,0.1705693898009029,0.13907995428555026,1.0,0.029093916737052358,0.6683506802528051,0.13907995428555026
symbolic,EU,16,42,0.022880512771436975,0.5222460579862347,0.7305469895953659,0.6422069363134991,0.1512630581848621,0.12223647773353474,1.0,0.022880512771436975,0.6422069363134991,0.12223647773353474
symbolic,EU,16,43,0.028645883877118628,0.4018628829924391,0.6776817240538922,0.6573300958705294,0.16925094941275404,0.13608598595620605,1.0,0.028645883877118628,0.6573300958705294,0.13608598595620605
symbolic,EU,32,42,0.02397106770796609,0.49947484979199475,0.7174794160255427,0.6445200256564585,0.15482592711805762,0.12524236021801924,1.0,0.02397106770796609,0.6445200256564585,0.12524236021801924
symbolic,EU,32,43,0.026249896352806733,0.45189202771444004,0.7219262470981025,0.6542649919314176,0.16201819759769806,0.13194591626942495,1.0,0.026249896352806733,0.6542649919314176,0.13194591626942495
symbolic,EU,64,42,0.023548365474214884,0.5083010356598554,0.7283332975114266,0.6445022211397589,0.15345476686703116,0.12457315266162677,1.0,0.023548365474214884,0.6445022211397589,0.12457315266162677
symbolic,EU,64,43,0.022969485939643732,0.5203882638769481,0.7291838481681536,0.642449265008404,0.15155687361397943,0.12241469658020894,1.0,0.022969485939643732,0.642449265008404,0.12241469658020894
symbolic,EU,128,42,0.023438608277221627,0.5105928083159896,0.7229473167734877,0.643542525404226,0.15309672849940859,0.1236407462703992,1.0,0.023438608277221627,0.643542525404226,0.1236407462703992
symbolic,EU,128,43,0.02422059950616744,0.49426452948845245,0.7210307886683449,0.6461628105947688,0.15562968709782668,0.1257324394426207,1.0,0.02422059950616744,0.6461628105947688,0.1257324394426207
symbolic,EV,4,42,0.026519787957504388,0.44625658678928337,0.6723598144079255,0.6496476161717225,0.1628489728475571,0.1320340690088612,1.0,0.026519787957504388,0.6496476161717225,0.1320340690088612
symbolic,EV,4,43,0.02668409579262491,0.44282577574423665,0.6727981148485607,0.6502385930909924,0.16335267305013687,0.13232572191659428,1.0,0.02668409579262491,0.6502385930909924,0.13232572191659428
symbolic,EV,8,42,0.0266572572492022,0.4433861748946488,0.6727355503610674,0.650143679658577,0.16327050330418597,0.1322784065045143,1.0,0.0266572572492022,0.650143679658577,0.1322784065045143
symbolic,EV,8,43,0.028598027563962448,0.4028621412909311,0.6751577699482679,0.6569137096507668,0.1691095135229312,0.13602790466496642,1.0,0.028598027563962448,0.6569137096507668,0.13602790466496642
symbolic,EV,16,42,0.02635638719537089,0.44966845780009324,0.6710256706761466,0.6488436912305424,0.16234650348982232,0.1318692359312987,1.0,0.02635638719537089,0.6488436912305424,0.1318692359312987
symbolic,EV,16,43,0.028853940988013773,0.3975185701753664,0.6753583216244381,0.6578295506449959,0.16986447829965443,0.136552663075139,1.0,0.028853940988013773,0.6578295506449959,0.136552663075139
symbolic,EV,32,42,0.026349535734157267,0.4498115189559364,0.6713559903286019,0.6489092210977973,0.16232540076696952,0.13180875034462403,1.0,0.026349535734157267,0.6489092210977973,0.13180875034462403
symbolic,EV,32,43,0.027118609637078853,0.4337529588838308,0.6735822590989855,0.6517467013386774,0.16467728937858692,0.133085515609651,1.0,0.027118609637078853,0.6517467013386774,0.133085515609651
symbolic,EV,64,42,0.026719551444217646,0.44208544804772454,0.669686474196372,0.6494512861356698,0.16346116188323648,0.13308201394164498,1.0,0.026719551444217646,0.6494512861356698,0.13308201394164498
symbolic,EV,64,43,0.026544826398569813,0.44573377447120377,0.6724372972441912,0.6497397099476798,0.1629258309740043,0.1320785732278198,1.0,0.026544826398569813,0.6497397099476798,0.1320785732278198
symbolic,EV,128,42,0.026790804985856807,0.4405976465836311,0.6730246272618094,0.6506126240965123,0.1636789692839517,0.1325171071659241,1.0,0.026790804985856807,0.6506126240965123,0.1325171071659241
symbolic,EV,128,43,0.027973300663166244,0.4159066802188357,0.6746007551550905,0.6547082309735649,0.16725220675126007,0.1347498441909709,1.0,0.027973300663166244,0.6547082309735649,0.1347498441909709
symbolic,PT3,4,42,0.04434968564408502,0.07396143805031419,0.4538463657808516,0.6858704732694029,0.21059365053126608,0.17138328857939192,1.0,0.04434968564408502,0.6858704732694029,0.17138328857939192
symbolic,PT3,4,43,0.024252211076636204,0.4936044676902067,0.7424254031492468,0.649727519874044,0.15573121420138034,0.12662195799505296,1.0,0.024252211076636204,0.649727519874044,0.12662195799505296
symbolic,PT3,8,42,0.022780597479169985,0.5243323278712174,0.740424454483721,0.6439253358615059,0.15093242686437525,0.12153379395200584,1.0,0.022780597479169985,0.6439253358615059,0.12153379395200584
symbolic,PT3,8,43,0.029448789783384402,0.38509789762622537,0.7452014255578019,0.6725526937603111,0.17160649691484411,0.1399064976472809,1.0,0.029448789783384402,0.6725526937603111,0.1399064976472809
symbolic,PT3,16,42,0.034504163305455984,0.279539746344897,0.6934199484139043,0.6854418206442222,0.1857529631135288,0.14679277802340743,1.0,0.034504163305455984,0.6854418206442222,0.14679277802340743
symbolic,PT3,16,43,0.02789398006670941,0.41756292490262814,0.6850928586684822,0.6554447895166784,0.16701490971380192,0.13429028221934136,1.0,0.02789398006670941,0.6554447895166784,0.13429028221934136
symbolic,PT3,32,42,0.023970315997056842,0.49949054580605423,0.7174892527497254,0.6445184737572865,0.1548234994988062,0.12524031074159694,1.0,0.023970315997056842,0.6445184737572865,0.12524031074159694
